iter	Passed	Remaining
0	2	268
1	4	238
2	7	227
3	8	207
4	10	201
5	12	194
6	14	190
7	16	192
8	18	189
9	20	184
10	22	181
11	24	178
12	26	174
13	28	172
14	29	169
15	31	167
16	33	165
17	35	162
18	37	159
19	39	158
20	41	156
21	43	153
22	45	150
23	47	149
24	49	147
25	51	145
26	53	143
27	55	142
28	57	140
29	59	138
30	61	136
31	63	134
32	65	132
33	66	129
34	68	127
35	70	125
36	72	123
37	74	121
38	76	119
39	78	117
40	79	114
41	80	111
42	82	109
43	84	107
44	86	105
45	87	103
46	90	101
47	92	100
48	94	97
49	95	95
50	97	93
51	98	91
52	99	88
53	100	86
54	101	83
55	102	80
56	104	78
57	105	76
58	106	73
59	107	71
60	107	68
61	108	66
62	109	64
63	110	62
64	111	59
65	112	57
66	113	55
67	113	53
68	114	51
69	115	49
70	115	47
71	116	45
72	117	43
73	117	41
74	118	39
75	119	37
76	119	35
77	120	34
78	121	32
79	121	30
80	122	28
81	122	26
82	123	25
83	123	23
84	124	21
85	125	20
86	125	18
87	126	17
88	126	15
89	127	14
90	127	12
91	128	11
92	128	9
93	129	8
94	129	6
95	130	5
96	130	4
97	131	2
98	131	1
99	132	0
